地區,區域,屋苑,屋苑英文,落成年份,成交宗數,中位呎價,中位售價,最細面積,最大面積,細節連結
中西區,港島,富滿大廈,Fu Moon Building,1986,1,13494,4750000,352,352,https://hk.centanet.com/findproperty/transaction-detail/富滿大廈_26070900130038
中西區,港島,海傍大廈,Sea View Mansion,1979,1,11765,4000000,340,340,https://hk.centanet.com/findproperty/transaction-detail/海傍大廈_26070900130049
中西區,港島,中央大廈,Central Mansion (House),1975,1,10998,6500000,591,591,https://hk.centanet.com/findproperty/transaction-detail/中央大廈_26070900140028
中西區,港島,新威大廈,Sunwise Building,1975,1,13289,4000000,301,301,https://hk.centanet.com/findproperty/transaction-detail/新威大廈_26070900880077
中西區,港島,廣豐台,Kwong Fung Terrace,1993,1,14622,6580000,450,450,https://hk.centanet.com/findproperty/transaction-detail/廣豐台_26070901210038
中西區,港島,皇后大道西300-302號,300-302 Queen's Road West,1977,1,9277,2950000,318,318,https://hk.centanet.com/findproperty/transaction-detail/皇后大道西300-302號_26070901390098
中西區,港島,珀苑,Amber Garden,1981,1,23504,33000000,1404,1404,https://hk.centanet.com/findproperty/transaction-detail/珀苑_26070901500331
中西區,港島,金陵大廈,Kam Ling Court,1963,1,7504,4480000,597,597,https://hk.centanet.com/findproperty/transaction-detail/金陵大廈_26070801230038
中西區,港島,滿發大廈,Full Harvest Building,1984,1,10855,2920000,269,269,https://hk.centanet.com/findproperty/transaction-detail/滿發大廈_26070801460094
中西區,港島,普慶大廈,Po Hing Mansion,1958,1,8041,3900000,485,485,https://hk.centanet.com/findproperty/transaction-detail/普慶大廈_26070801820026
中西區,港島,寶德大廈,Po Tak Mansion,1984,1,15528,5000000,322,322,https://hk.centanet.com/findproperty/transaction-detail/寶德大廈_26070801820030
中西區,港島,萬發大樓,Man Fatt Mansion,1965,1,10651,3600000,338,338,https://hk.centanet.com/findproperty/transaction-detail/萬發大樓_26070801850137
中西區,港島,聯安新樓,Luen On Apartments,1968,1,11031,4600000,417,417,https://hk.centanet.com/findproperty/transaction-detail/聯安新樓_26070801970535
中西區,港島,東邊街九號,No. 9 Eastern Street,2025,1,26280,6570000,250,250,https://hk.centanet.com/findproperty/transaction-detail/東邊街九號_26070801970557
中西區,港島,順昌大廈,Shun Cheong Building,2001,1,13858,4490000,324,324,https://hk.centanet.com/findproperty/transaction-detail/順昌大廈_26070801970562
中西區,港島,高士台,The Summa,2013,1,24517,6350000,259,259,https://hk.centanet.com/findproperty/transaction-detail/高士台_26070700280062
中西區,港島,嘉安大廈,Ka On Building,1988,1,14066,7300000,519,519,https://hk.centanet.com/findproperty/transaction-detail/嘉安大廈_26070700740098
中西區,港島,瑧蓺,Artisan House,2018,1,28000,6048000,216,216,https://hk.centanet.com/findproperty/transaction-detail/瑧蓺_26070701350070
中西區,港島,怡豐閣,Yee Fung Court,1991,1,15262,5250000,344,344,https://hk.centanet.com/findproperty/transaction-detail/怡豐閣_26070701700010
中西區,港島,恆隆銀行西區分行大廈,Hang Lung Bank Western Branch Building,1982,1,11646,2830000,243,243,https://hk.centanet.com/findproperty/transaction-detail/恆隆銀行西區分行大廈_BON202606S0754
中西區,港島,活倫閣,Woodlands Court,1993,1,16446,6200000,377,377,https://hk.centanet.com/findproperty/transaction-detail/活倫閣_RM8202606S0713
中西區,港島,碧翠園,Greenland Gardens,1971,1,10593,8220000,776,776,https://hk.centanet.com/findproperty/transaction-detail/碧翠園_26070601030066
中西區,港島,嘉富臺,Prosperous Height,1995,1,18586,14200000,764,764,https://hk.centanet.com/findproperty/transaction-detail/嘉富臺_26070601580137
中西區,港島,得富大樓,Des Voeux Road West Building,1962,1,8624,4200000,487,487,https://hk.centanet.com/findproperty/transaction-detail/得富大樓_26070601740115
中西區,港島,禮賢樓,Rhenish Mansion,1973,1,16063,12850000,800,800,https://hk.centanet.com/findproperty/transaction-detail/禮賢樓_26070300350043
中西區,港島,利威樓,Lee Wai Building,1974,1,8257,3980000,482,482,https://hk.centanet.com/findproperty/transaction-detail/利威樓_26070300400272
中西區,港島,俊賢花園,Lyttelton Garden,1993,1,22247,20000000,899,899,https://hk.centanet.com/findproperty/transaction-detail/俊賢花園_26070300460023
中西區,港島,太康樓,Tai Hong Building,1994,1,10593,3750000,354,354,https://hk.centanet.com/findproperty/transaction-detail/太康樓_26070300480046
中西區,港島,皇朝閣,Royal Court,1995,1,23504,16500000,702,702,https://hk.centanet.com/findproperty/transaction-detail/皇朝閣_26070301440044
中西區,港島,豪景臺,Rich View Terrace,1992,1,17121,6780000,396,396,https://hk.centanet.com/findproperty/transaction-detail/豪景臺_26070301530016
中西區,港島,毓明閣,Yuk Ming Towers,1991,1,16585,6750000,407,407,https://hk.centanet.com/findproperty/transaction-detail/毓明閣_26070200140170
中西區,港島,偉景閣,Viking Court,1987,1,14815,4000000,270,270,https://hk.centanet.com/findproperty/transaction-detail/偉景閣_26070200360137
中西區,港島,瓊林閣,King's Court,1976,1,14252,8380000,588,588,https://hk.centanet.com/findproperty/transaction-detail/瓊林閣_26070200360167
中西區,港島,添寶閣,Tim Po Court,1993,1,18191,8968000,493,493,https://hk.centanet.com/findproperty/transaction-detail/添寶閣_26070200590117
中西區,港島,嘉慧園,Grenville House,1971,1,29860,100000000,3349,3349,https://hk.centanet.com/findproperty/transaction-detail/嘉慧園_26070200720018
中西區,港島,麗怡大廈,Beaudry Tower,1989,1,17014,7350000,432,432,https://hk.centanet.com/findproperty/transaction-detail/麗怡大廈_26070200790144
中西區,港島,明珠閣,Brilliant Court,1980,1,14109,8000000,567,567,https://hk.centanet.com/findproperty/transaction-detail/明珠閣_26070201050020
中西區,港島,蔚然,Azura,2012,1,39333,62500000,1589,1589,https://hk.centanet.com/findproperty/transaction-detail/蔚然_26070201160064
中西區,港島,皇后街28-30號,28-30 Queen Street,1976,1,10159,3200000,315,315,https://hk.centanet.com/findproperty/transaction-detail/皇后街28-30號_26063000160019
中西區,港島,龍騰閣,Dragonview Court,1989,1,17578,18000000,1024,1024,https://hk.centanet.com/findproperty/transaction-detail/龍騰閣_26063000220196
中西區,港島,荷李活華庭,Hollywood Terrace,1999,1,17073,10500000,615,615,https://hk.centanet.com/findproperty/transaction-detail/荷李活華庭_26063000250193
中西區,港島,第一街75號,75 First Street,1963,1,12179,3800000,312,312,https://hk.centanet.com/findproperty/transaction-detail/第一街75號_26063000270018
中西區,港島,華麗閣,Ivory Court,1964,1,13759,28000000,2035,2035,https://hk.centanet.com/findproperty/transaction-detail/華麗閣_26063000680016
中西區,港島,康和大廈,Cordial Mansion,1973,1,10938,10500000,960,960,https://hk.centanet.com/findproperty/transaction-detail/康和大廈_26063000830011
