Time,Class,Value
201709,100 m2 to 159.9 m2,2.69
201709,160 m2 or above,2.43
201709,40 m2 to 69.9 m2,2.99
201709,70 m2 to 99.9 m2,2.72
201709,Less than 40 m2,3.24
201712,100 m2 to 159.9 m2,2.52
201712,160 m2 or above,2.25
201712,40 m2 to 69.9 m2,2.91
201712,70 m2 to 99.9 m2,2.69
201712,Less than 40 m2,3.19
201803,100 m2 to 159.9 m2,2.44
201803,160 m2 or above,2.28
201803,40 m2 to 69.9 m2,2.84
201803,70 m2 to 99.9 m2,2.58
201803,Less than 40 m2,3.06
201806,100 m2 to 159.9 m2,2.45
201806,160 m2 or above,2.27
201806,40 m2 to 69.9 m2,2.7
201806,70 m2 to 99.9 m2,2.51
201806,Less than 40 m2,2.91
201809,100 m2 to 159.9 m2,2.53
201809,160 m2 or above,2.26
201809,40 m2 to 69.9 m2,2.8
201809,70 m2 to 99.9 m2,2.55
201809,Less than 40 m2,2.99
201812,100 m2 to 159.9 m2,2.55
201812,160 m2 or above,1.95
201812,40 m2 to 69.9 m2,2.99
201812,70 m2 to 99.9 m2,2.58
201812,Less than 40 m2,3.17
201903,100 m2 to 159.9 m2,2.36
201903,160 m2 or above,2.33
201903,40 m2 to 69.9 m2,2.76
201903,70 m2 to 99.9 m2,2.51
201903,Less than 40 m2,3.01
201906,100 m2 to 159.9 m2,2.35
201906,160 m2 or above,2.3
201906,40 m2 to 69.9 m2,2.64
201906,70 m2 to 99.9 m2,2.39
201906,Less than 40 m2,2.88
201909,100 m2 to 159.9 m2,2.32
201909,160 m2 or above,2.33
201909,40 m2 to 69.9 m2,2.77
201909,70 m2 to 99.9 m2,2.42
201909,Less than 40 m2,3.03
201912,100 m2 to 159.9 m2,2.3
201912,160 m2 or above,2.5
201912,40 m2 to 69.9 m2,2.61
201912,70 m2 to 99.9 m2,2.43
201912,Less than 40 m2,2.87
202003,100 m2 to 159.9 m2,2.28
202003,160 m2 or above,2.03
202003,40 m2 to 69.9 m2,2.54
202003,70 m2 to 99.9 m2,2.36
202003,Less than 40 m2,2.73
202006,100 m2 to 159.9 m2,2.2
202006,160 m2 or above,2.04
202006,40 m2 to 69.9 m2,2.43
202006,70 m2 to 99.9 m2,2.28
202006,Less than 40 m2,2.6
202009,100 m2 to 159.9 m2,2.23
202009,160 m2 or above,1.99
202009,40 m2 to 69.9 m2,2.43
202009,70 m2 to 99.9 m2,2.28
202009,Less than 40 m2,2.67
202012,100 m2 to 159.9 m2,2.27
202012,160 m2 or above,2.23
202012,40 m2 to 69.9 m2,2.45
202012,70 m2 to 99.9 m2,2.31
202012,Less than 40 m2,2.65
202103,100 m2 to 159.9 m2,2.17
202103,160 m2 or above,2.21
202103,40 m2 to 69.9 m2,2.39
202103,70 m2 to 99.9 m2,2.25
202103,Less than 40 m2,2.58
202106,100 m2 to 159.9 m2,2.16
202106,160 m2 or above,2.1
202106,40 m2 to 69.9 m2,2.38
202106,70 m2 to 99.9 m2,2.28
202106,Less than 40 m2,2.59
202109,100 m2 to 159.9 m2,2.11
202109,160 m2 or above,1.88
202109,40 m2 to 69.9 m2,2.43
202109,70 m2 to 99.9 m2,2.25
202109,Less than 40 m2,2.66
202112,100 m2 to 159.9 m2,2.21
202112,160 m2 or above,2.08
202112,40 m2 to 69.9 m2,2.54
202112,70 m2 to 99.9 m2,2.27
202112,Less than 40 m2,2.76
202203,100 m2 to 159.9 m2,2.26
202203,160 m2 or above,2.12
202203,40 m2 to 69.9 m2,2.47
202203,70 m2 to 99.9 m2,2.35
202203,Less than 40 m2,2.73
202206,100 m2 to 159.9 m2,2.3
202206,160 m2 or above,2.09
202206,40 m2 to 69.9 m2,2.37
202206,70 m2 to 99.9 m2,2.25
202206,Less than 40 m2,2.71
202209,100 m2 to 159.9 m2,2.29
202209,160 m2 or above,2.46
202209,40 m2 to 69.9 m2,2.59
202209,70 m2 to 99.9 m2,2.33
202209,Less than 40 m2,2.99
202212,100 m2 to 159.9 m2,2.31
202212,160 m2 or above,2.37
202212,40 m2 to 69.9 m2,2.7
202212,70 m2 to 99.9 m2,2.51
202212,Less than 40 m2,3.18
202303,100 m2 to 159.9 m2,2.32
202303,160 m2 or above,2.09
202303,40 m2 to 69.9 m2,2.59
202303,70 m2 to 99.9 m2,2.4
